year,bungalow,detached,semi_detached,terraced,flat_converted,flat_built
1986,100,100,100,100,100,100
1987,112,112,112,111,114,116
1988,133,140,136,139,143,139
1989,160,183,158,150,149,139
1990,169,186,173,164,146,145
1991,169,183,179,171,149,145
1992,162,179,173,168,141,139
1993,162,178,170,164,143,139
1994,167,186,176,171,154,142
1995,162,190,176,175,162,152
1996,171,195,188,186,178,168
1997,188,205,200,211,200,181
1998,200,221,215,225,227,197
1999,217,243,242,254,270,239
2000,245,267,267,279,292,265
2001,269,298,300,311,327,290
2002,329,348,342,354,403,332
2003,390,431,421,432,446,406
2004,450,484,491,511,446,481
2005,483,516,533,546,422,513
2006,521,538,576,586,432,555
2007,564,584,624,646,489,600
2008,550,603,627,650,486,574
2009,514,576,609,643,462,581
2010,555,626,673,718,546,652
2011,526,616,652,696,543,674
2012,526,605,648,711,600,677
2013,538,598,670,739,684,677
2014,581,631,709,796,759,745
2015,600,653,718,836,746,794
2016,619,672,733,839,732,819
2017,631,672,730,811,646,861
2018,638,683,742,821,659,852
2019,645,688,742,814,646,832
2020,686,734,791,886,703,868
2021,748,797,845,943,741,874
